unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge2/source/bridge2.cpp)	rust_home	calls
e001_matchAndRewrite	001/384	0	8	dcc/src/Conversion/AffineToStandard/AffineToStandard.cpp:41	24-33	src/bridges/dataflow_ir_to_sentient/std_affine_to_standard.rs	-
e002_setCoalescedBoundValues	002/384	0	5	dcc/src/Conversion/AgenToSentient/AccessDetails.cpp:672	35-41	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e003_setIndices	003/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:77	43-46	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e004_setMemViewStartAddr	004/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:81	48-51	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e005_setMemoryIndex	005/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:93	53-56	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e006_setLayoutCoeffs	006/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:96	58-61	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e007_setMemViewLayoutMap	007/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:99	63-66	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e008_setShuffleMode	008/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:104	68-71	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e009_setRotationPosition	009/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:107	73-76	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e010_setExpectedTotalElements	010/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:110	78-81	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e011_setExtents	011/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:113	83-86	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e012_setTotalElements	012/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:116	88-91	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e013_setElementWidth	013/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:119	93-96	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e014_setTransferSet	014/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:122	98-101	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e015_setTransferOrder	015/384	0	2	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:125	103-106	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e016_AccessDetailsBase	016/384	0	0	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:218	108-108	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
