unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge3/cpp/bridge3.cpp)	rust_home	calls
e001_ConstructNOPInstr	001/130	0	10	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:329	22-31	src/bridges/sentient_to_progir/construct/scalar.rs	-
e002_ConstructReturnInstr	002/130	0	7	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:340	34-40	src/bridges/sentient_to_progir/construct/scalar.rs	-
e003_normalizeBurstSize	003/130	0	13	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:2562	43-55	src/bridges/sentient_to_progir/construct/transfer.rs	-
e004_rtrim	004/130	0	6	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:3859	58-63	src/bridges/sentient_to_progir/construct/opaque.rs	-
e005_ConstructIncrMaskInstr	005/130	0	11	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:4118	66-76	src/bridges/sentient_to_progir/construct/mask_and_splat.rs	-
e006_addToRegsToInit	006/130	0	61	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:4157	79-139	src/bridges/sentient_to_progir/construct/reg_init.rs	-
e007_addPESFPLRFImmcopyToRegInit	007/130	0	228	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:4226	142-369	src/bridges/sentient_to_progir/construct/reg_init.rs	-
e008_addToRegInit	008/130	0	41	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:96	372-412	src/bridges/sentient_to_progir/lower/labels_and_regs.rs	-
e009_GetAddressScale	009/130	0	16	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:502	415-430	src/bridges/sentient_to_progir/lower/labels_and_regs.rs	-
e010_GetOpCodePrefix	010/130	0	18	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:519	433-450	src/bridges/sentient_to_progir/lower/labels_and_regs.rs	-
e011_fillUnitToIdMap	011/130	0	17	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:967	453-469	src/bridges/sentient_to_progir/lower/control.rs	-
e012_setRegDef	012/130	0	7	dcc/src/Conversion/SentientToProgIR/RegDefTracker.cpp:53	472-478	src/bridges/sentient_to_progir/reg_def_tracker.rs	-
e013_addRegDefsForUnit	013/130	0	15	dcc/src/Conversion/SentientToProgIR/RegDefTracker.cpp:61	481-495	src/bridges/sentient_to_progir/reg_def_tracker.rs	-
e014_checkRegDefs	014/130	0	63	dcc/src/Conversion/SentientToProgIR/RegDefTracker.cpp:106	498-560	src/bridges/sentient_to_progir/reg_def_tracker.rs	-
e015_initializeUtilizedRegisters	015/130	0	39	dcc/src/Conversion/SentientToProgIR/SentientToProgIR.cpp:429	563-601	src/bridges/sentient_to_progir/driver.rs	-
e016_replaceProgramBodyWithSmcOp	016/130	0	49	dcc/src/Conversion/SentientToProgIR/SentientToProgIR.cpp:560	604-652	src/bridges/sentient_to_progir/driver.rs	-
e017_createNOPInstr	017/130	0	8	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:43	655-662	src/bridges/sentient_to_progir/uniform/instr.rs	-
e018_getUniformizedInstr	018/130	0	21	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:218	665-685	src/bridges/sentient_to_progir/uniform/instr.rs	-
e019_getRegularInstr	019/130	0	11	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:240	688-698	src/bridges/sentient_to_progir/uniform/instr.rs	-
e020_getCommonField	020/130	0	5	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:252	701-705	src/bridges/sentient_to_progir/uniform/instr.rs	-
