entry	level	loc	authority	extract_lines	rust_home	callees	note
e001_compound	-	27	dsc/dims.cpp:84	22-48	schedule/l3/dsc.rs		ALREADY PORTED — StageDims::compound at crates/compiler/deeptools/src/schedule/l3/dsc.rs:1302 with the Zij/Sij/Rc narrowing documented, plus the FilledDims wrapper at :1366. DO NOT RE-PORT. Add the /// Replaces: e001_compound anchor to :1302 and nothing else.
e002_primaryDimToValHandler_st	0	30	dsc/dims.cpp:485	51-80	schedule/l3/dsc.rs		The WRITE side of StageDims::extents. 12 of the reference's dim arms are spellable as PrimaryDim; the remainder (zi_/zj_/si_/sj_/r_/c_) are unspellable exactly as StageDims::compound already records.
e003_scaleFromMaxToGranularity	0	12	dsc/dims.cpp:618	83-94	schedule/l3/dsc.rs		Reads Symbolic::info. MEASURED: symbolicDimInfo_ empty on every data stage of all 187 g0 reference exports, so the body is the identity for every program we compile today — but it is a real 12-line port, not a stub.
e004_getDimIndexInLayoutOrder	0	10	dsc/designSpaceConfig.cpp:429	97-106	schedule/l3/dsc.rs		impl LayoutDims, NOT impl DesignSpaceConfig: the whole body reads primaryDsInfo_.at(dstype).layoutDimOrder_ and nothing else. Returns -1 for an absent dim; that -1 is a real answer e017 branches on, so it is Option, never a panic.
e005_getLayoutDimSet	0	5	dsc/dsc2.cpp:4027	109-113	schedule/l3/dsc.rs		impl LayoutDims. The DsTypes overload; designSpaceConfig.h:238's inline int overload is the same call through labeledDs_.at(ldsIdx).dsType_.
e006_getLayoutDims	0	19	dsc/dsc2.cpp:4007	116-134	schedule/dsc2.rs		⚠ A SEAM MAY ALREADY ANSWER THIS: Dsc::layout_dims(lds) -> LayoutDims is declared at crates/compiler/deeptools/src/schedule/dsc2.rs:1690 and DesignSpaceConfig carries a precomputed layout_dims map (l3/dsc.rs:527). What is NOT ported is the referenceLdsIdx_ walk and the LX/HBM memOrg_ preference (:4011-4018). MEASURED: 0 of 187 g0 programs state referenceLdsIdx_ >= 0, so the walk runs exactly once. Port the walk or prove the seam is it; do not leave both.
e007_getPageSize	0	34	dsc/dsc2.cpp:4480	137-170	schedule/dsc2.rs	e006	impl AllocateNode. NEEDS TWO NEW FIELDS: indirect_alloc_type (indirectAllocType_, dsc/dsc2.h:990) and related_indirect_access_alloc (relatedIndirectAccessAlloc_). ⭐ THE NO_INDIRECTION ARM IS A REAL PORT AND RETURNS AN EMPTY MAP (:4483-4485) — that is what every program we compile takes, by CONSTRUCTION: the emitter has exactly one construction site for the field and it is the literal "no_indirection" (crates/targets/spyre/src/lower_subtile_tape_to_superdsc.rs:5212). The VALUE_TENSOR and INDEX_TENSOR arms (:4486-4494) plus the maxDimSizes_ walk (:4497-4511) are DEFERRED, not dropped: paged attention is on the roadmap. A todo! there must cite dsc/dsc2.cpp:4486-4511 exactly.
e008_pruneMaxSymbolicVolumes	0	34	dsc/dims.cpp:729	173-206	schedule/l3/dsc.rs	e003	impl StageDims over Symbolic::volumes. MEASURED: maxSymbolicVolume_ empty on every data stage of all 187 g0 reference exports, so e015 calls this on an empty map. Port it whole anyway — an empty-map early return is the body's own behaviour, not a substitute for it.
e009_calculate_padded	1	54	dsc/dims.cpp:563	209-262	schedule/l3/dsc.rs	e010	⛔ MUTUALLY RECURSIVE WITH e010 (dims.cpp:594 calls primaryDimToVal_base_st; dims.cpp:560 calls calculate_padded). ONE BATCH, not two waves. MEASURED: getPadding(d) == NOPAD in 186 of 187 g0 programs, so the val early return (:566-567) is the live path and the window/padded arms are reached by exactly one program (sdsc_14).
e010_primaryDimToVal_base_st	1	46	dsc/dims.cpp:516	265-310	schedule/l3/dsc.rs	e009	The plain per-dim extent read, with symbolicDimInfo_ overriding it. See e009 on the recursion. StageDims::extent already answers the non-symbolic half (l3/dsc.rs:1170) — extend it, do not write a second reader.
e011_primaryDimToVal_clView_st	1	15	dsc/dims.cpp:631	313-327	schedule/l3/dsc.rs	e003 e009 e010	Reads coreletSplit_, which StageDims ALREADY has as corelet_split. MEASURED: 1 of 187 g0 programs states it (sdsc_49, the only one with numCoreletsUsed_ > 1), so the clId >= 0 arm is live but rare.
e012_primaryDimToVal_st	2	56	dsc/dims.cpp:651	330-385	schedule/l3/dsc.rs	e003 e009 e011	⛔ NEEDS TWO NEW FIELDS ON StageDims (crates/compiler/deeptools/src/schedule/l3/dsc.rs:1146): row_split (rowSplit_) and pe_sfp_split (peSfpSplit_). ⭐ row_split IS THE LIVE BRANCH, MEASURED: 93 of 187 g0 reference exports carry rowSplit_ (values like {"out":{"0":[8,8,8,8,8,8,8,8]}}), and it is the FIRST branch of this body. peSfpSplit_ is 0 of 187 — deferred, cite dsc/dims.cpp:682-700.
e013_primaryDimToVal_st_1arg	2	3	dsc/dims.cpp:647	388-390	schedule/l3/dsc.rs	e012	The NO_COMPONENT default-argument spelling e015 calls twice (dims.cpp:685-688 of the extract). Not a wrapper to skip: it fixes ptrowId and clId at -1, which SELECTS a different branch of e012.
e014_parametricStride	3	25	dsc/dsc2.cpp:4197	393-417	schedule/dsc2.rs	e006	impl LoopNode — it reads parametricLdsIdx_ and dims_[0].dim_ off the loop, both of which LoopNode already has (parametric_lds, dims at schedule/dsc2.rs:1382). Calls getCumulativeStickSizes, WHICH IS ALREADY PORTED as bridge-1 e071 in bridges/superdsc_to_dataflow_ir/shape_constraints.rs:146 — call it. MEASURED: 1 of 187 g0 programs has a parametric loop (sdsc_14).
e015_getSizeDataStageForNode	3	137	dsc/dsc2.cpp:3616	420-556	schedule/l3/capacity.rs	e008 e012 e013 e014	⛔ TAKE THE LOOP CHAIN AS A PARAMETER, DO NOT WALK stages/tree.rs — that file is fenced to another agent. The body's getOwnerLoop/getPrev walk is over an ancestor chain the caller already has. NEEDS: N_ (DesignSpaceConfig::N_, absent — only N_.paddingSizes_ landed as full_padding, l3/dsc.rs:548) for the HBM early return, and non_unified_alloc_in_hbm on AllocateNode. MEASURED: nonUnifiedAllocInHBM_ is 0 on all 1899 g0 reference allocate nodes, so the HBM early return (:3626-3633) is TAKEN for every HBM allocation — that arm is the live one, not the skipped one.
e016_getSizeDataStageForNode_2arg	3	4	dsc/dsc2.cpp:3611	559-562	schedule/l3/capacity.rs	e015	The (node, alloc) spelling that forwards alloc->ldsIdx_ and alloc->padding_. e017 calls THIS one, not the 3-arg.
e017_getBufferCapacityForNodePerDimCustomLocation	4	211	dsc/dsc2.cpp:3754	565-775	schedule/l3/capacity.rs	e004 e005 e006 e007 e012 e016	THE BODY. See AGENT-BRIEF.md for the arm-by-arm fixture measurement and the two traps. NEEDS FOUR NEW FIELDS ON AllocateNode: allocate_coordinates, slice_view_coordinates, ignore_symbolic_volume_limits, back_gap_core. Calls getCumulativeStickSizes (ALREADY PORTED, bridge-1 e071).
e018_getBufferCapacityForNodePerDim	5	10	dsc/dsc2.cpp:3966	778-787	schedule/l3/capacity.rs	e017	Forwards node as BOTH nodeForLocation and node. Answers the existing L3OffsetFacts::ibr_sizes_no_rounding stub (schedule/stages/offsets.rs, doNotRound = true).
e019_getBufferCapacityForNode	6	29	dsc/dsc2.cpp:3977	790-818	schedule/l3/capacity.rs	e018	The accumulate + wordLength + even-stick round. MEASURED: numBuffers_ >= 2 on 587 of 1899 g0 reference allocate nodes across all 187 programs, so the forceEvenNumSticks arm (:3996-4003) is LIVE. Answers all three carriers: stages/carriers.rs:87 (⛔ FENCED to agent a38b74e11251291af — do not edit), stages/ddc_reads.rs:298, stages/ddc_sites.rs:681.
