symbol	qualifier	authority	body_lines	rule	reason
doCoreletSplitSdsc	sbf	dbo/src/Utils/sdsc_bundle/SdscCoreletSplit.cpp:84	-	stage1_not_reached	STAGE 1 of runDdc, and it is SKIPPED for our input: SchedulerStages.cpp:25 returns early unless numCoreletsPerCore == 2, and scratchy emits numCoreletsUsed_ = 1 in all 313 sampled SuperDSCs. Recorded here so the skip is a stated decision, not an omission.
getCores	CrossCoreReductionGroup	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:33	1	field_accessor	1-line field accessor -- a struct field in Rust, not a function
isEmpty	CrossCoreReductionGroup	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:52	1	field_accessor	1-line field accessor -- a struct field in Rust, not a function
setAccessPattern	DataTransfer	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:145	3	field_accessor	3-line field accessor -- a struct field in Rust, not a function
getMutableAccessPatternList	DataTransfer	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:151	3	field_accessor	3-line field accessor -- a struct field in Rust, not a function
clear	Metadata	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:197	1	field_accessor	1-line field accessor -- a struct field in Rust, not a function
isValidDimParam	L3DlOpsScheduler	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:227	1	field_accessor	1-line field accessor -- a struct field in Rust, not a function
isOutputLabeledDs	L3DlOpsScheduler	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:228	3	field_accessor	3-line field accessor -- a struct field in Rust, not a function
hasComputeOp	L3DlOpsScheduler	dcg/dcg_fe/scheduler/L3DlOpsScheduler.h:285	3	field_accessor	3-line field accessor -- a struct field in Rust, not a function
runDcg	DcgManager	dcg/dcg_manager/dcg_manager.cpp:17	94	named_exclusion	NOT THE BRANCH TAKEN. SchedulerStages.cpp:53-57 picks runDcgForDlOpsStandalone whenever dscs_ is non-empty, which is always true for scratchy's input; runDcg is the dataOpdscs_-only PCFG path.
runDcgGeneratePCFG	DcgManager	dcg/dcg_manager/dcg_manager.cpp:126	18	named_exclusion	The PCFG / data-DSC path is ruled off our path by the user (dcg_fe/pcfg_gen/ is out of scope).
