unit	level	loc	authority	subsystems
e009_getStickSize	0	12	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:327	stick sizes (ALREADY PORTED)
e015_getParentLoopNodes	0	10	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:532	dsc2 tree utilities
e036_getMinParamScalarBroadcast	0	16	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:1008	stick sizes (ALREADY PORTED)
e040_getMinParamConversionDl16AndFp32	0	17	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:1099	stick sizes (ALREADY PORTED)
e046_getLxBelowBlockNode	0	11	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:3468	dsc2 tree utilities
e049_calculateCoreletOffsetInByte	0	82	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:4842	stick sizes (ALREADY PORTED)
e053_verifyScheduleTree	0	22	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:6385	dsc2 tree utilities
e055_computeMinHMICoreGroupSizeForSEN1P5	0	94	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:6486	dsc2 tree utilities; fold infrastructure
e061_gatherFoldParams	0	12	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:7248	fold infrastructure
e081_buildFoldForBroadcastDim	0	19	ddc/ddc_fold.cpp:87	stick sizes (ALREADY PORTED)
e089_constructAllocElemArrLayout	0	87	ddc/ddc_fold.cpp:296	stick sizes (ALREADY PORTED)
e092_getNumElementsInPTSlice	0	18	ddc/ddc_fold.cpp:1519	stick sizes (ALREADY PORTED)
e095_gatherFoldParams	0	12	ddc/ddc_fold.cpp:2224	fold infrastructure
e103_getLoops	0	13	ddc/ddc_metadata.h:179	dsc2 tree utilities
e105_isReleventComputeToPackStickDim	0	17	ddc/ddc_transformation.cpp:693	dsc2 tree utilities
e106_findReleventStickPackingTransfers	0	72	ddc/ddc_transformation.cpp:712	dsc2 tree utilities
e123_updateNodesWithNewLds	0	57	ddc/ddc_transformation_util.cpp:1919	dsc2 tree utilities
e125_minimizeAllocations	0	101	ddc/ddcv1.cpp:30	dsc2 tree utilities
e126_populateUnitTimeTransfers	0	115	ddc/ddcv1.cpp:439	dsc2 tree utilities; stick sizes (ALREADY PORTED)
e128_finalizeAllocateLayouts	0	30	ddc/ddcv1.cpp:1712	stick sizes (ALREADY PORTED)
e130_getPeSfpSplitDim	0	47	ddc/ddcv1.cpp:1819	stick sizes (ALREADY PORTED)
e131_setPeFoldsIfPtInteraction	0	22	ddc/ddcv1.cpp:1868	dsc2 tree utilities
e133_adjustLoopOffsetsAndAddresses	0	81	ddc/ddcv1.cpp:3201	dsc2 tree utilities
e134_simplifyScheduleTree	0	27	ddc/ddcv1.cpp:3457	dsc2 tree utilities
e173_addInternalTensor	0	107	ddc/ddl/ddl_conversion.cpp:473	dsc2 tree utilities
e188_runDcgComputeTransfer	0	13	dcg/dcg_manager/dcg_manager.cpp:112	ISA tables
e189_runDcgForDlOps	0	52	dcg/dcg_manager/dcg_manager.cpp:216	DCG backend; ISA tables; PCFG translator; fold infrastructure
e190_runDcgForDlOpsStandalone	0	64	dcg/dcg_manager/dcg_manager.cpp:449	DCG backend; ISA tables; PCFG translator; dsc2 tree utilities; fold infrastructure
e192_printSenProgram	0	16	dcg/dcg_manager/dcg_manager.cpp:959	ISA tables
e193_runDcgForGenKG3	0	3	dcg/dcg_manager/dcg_manager.h:94	DCG backend
e194_runDcgForSparseKG3CONV2D	0	3	dcg/dcg_manager/dcg_manager.h:98	DCG backend
e195_runDcgForSparseKG3BMM	0	3	dcg/dcg_manager/dcg_manager.h:102	DCG backend
