unit	entry	level	scc	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines	rust_home	scope	extract_file	class	calls	note
e001_isSameDscGroup	001/382	0	0	4	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:60	31-35	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	-	-	-
e002_isLabeledDsDimensionBroadcast	002/382	0	1	6	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:65	44-52	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	-	-	-
e003_isDimensionCoreletSplit	003/382	0	2	12	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:74	62-75	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e004_voidPaddingIfChunking	004/382	0	7	20	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:128	84-105	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	-	-	-
e005_addOrUpdateSymbolicInfoInParams	005/382	0	9	15	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:158	114-130	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	-	-	-
e006_getLabeledDsWkSliceMulticastDegree	006/382	0	10	39	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:176	139-180	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	-	-	-
e007_scheduleDimTypeToString	007/382	0	12	16	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:282	190-206	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e008_hasDimensionReuse	008/382	0	13	19	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:303	216-235	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e009_getStickSize	009/382	0	14	12	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:327	245-258	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e010_getCoreSplitDimensions	010/382	0	15	25	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:342	268-294	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e011_getLabeledDsWithDsType	011/382	0	16	6	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:369	304-312	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e012_getAllLabeledDsIndicesSet	012/382	0	17	7	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:378	322-330	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e013_getHbmPinnedLabeledDsIndicesSet	013/382	0	18	7	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:387	340-348	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e014_isLabeledDsLXNeighbor	014/382	0	19	26	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:406	358-386	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
