pass_module	units	units_needing_outside_state	out_of_scope_headers	out_of_scope_types
address_pinning_and_toggle	114	37	Analyses/AddressPinningScheme.h,Analyses/ExpressionEvaluatorUtils.h,Analyses/Utils.hpp	DynamicPinningSchemeManager,EVAddressInfo,EvaluatedValue,L3GatherScatterChecker,StaticPinningSchemeManager
address_register_precision_assignment	6	0	-	-
annotate_mac_xrf_wt_range	2	1	Analyses/XRFRegisterAnalyzer.h	XRFRegisterAnalyzer
burst_splitting	4	1	Analyses/BurstUtils.hpp,Analyses/InstructionEstimation.h,Analyses/Utils.hpp	InstructionEstimator
canonicalize_xrf_pointers	3	1	Analyses/XRFRegisterAnalyzer.h	XRFRegisterAnalyzer
cfg_deep_merging	1	1	Analyses/CFGDeepMergingConditionalTree.hpp	CFGDeepMergingConditionalTree
cfg_simplification_sentient_level	32	9	Analyses/CFGSSentientLevelConditionalTree.hpp,Analyses/ExpressionEvaluatorUtils.h,Analyses/Utils.hpp	CFGSCondNode,CFGSSentientLevelConditionalTree,EvaluatedValue,ExpressionEvaluator
deuniform	9	0	-	-
enhanced_dead_variable_elimination	15	0	Analyses/Utils.hpp	-
implicit_sync_re	10	1	Analyses/RedundantDefinitionEliminationTree.hpp	RDETreeOptimizer
lexical_ordering	4	0	-	-
lightweight_simplification	6	3	Analyses/ExpressionEvaluatorUtils.h,Analyses/Utils.hpp	AllUnitEvaluatedValue,BaseValue,ExpressionEvaluator
live_range_reduction	18	4	Analyses/InstructionEstimation.h,Analyses/PropagationAnalysis.h,Analyses/Utils.hpp	ExprInfo,ExprInfoMap,InstructionEstimator,PropagationAnalysis
local_region_splitting_for_value_commoning	11	0	Analyses/Utils.hpp	-
loop_absorption	13	1	Analyses/InstructionEstimation.h,Analyses/Utils.hpp	InstructionEstimator
loop_coalescing	6	1	Analyses/InstructionEstimation.h	InstructionEstimator
loop_elimination_via_rerolling	7	2	Analyses/BurstUtils.hpp,Analyses/Utils.hpp	Candidate
loop_merging	7	1	Analyses/InstructionEstimation.h,Analyses/Utils.hpp	InstructionEstimator
loop_rolling	18	1	Analyses/InstructionEstimation.h,Analyses/Utils.hpp	InstructionEstimator
loop_splitting_and_unrolling	19	1	Analyses/InstructionEstimation.h	InstructionEstimator,InstructionEstimatorImpl,UnderEstimateInstructionEstimator
multi_dim_loop_peeling	12	3	Analyses/InstructionEstimation.h	Candidate,InstructionEstimator,InstructionEstimatorImpl,UnderEstimateInstructionEstimator
multicast_canonicalization	8	0	-	-
nop_insertion_for_back_to_back_syncs	3	0	-	-
old_register_initialization	29	3	Analyses/GraphColoring.hpp,Analyses/InstructionEstimation.h,Analyses/Liveness.h,Analyses/UniformGroupAnalysis.h,Analyses/Utils.hpp	InstructionEstimator,Liveness,RegisterGraphs,UniformGroupAnalyzer
op_rerolling	20	1	Analyses/InstructionEstimation.h	InstructionEstimator
port_assignment	13	1	Analyses/GraphColoring.hpp,Analyses/LiveRange.hpp	LabeledRange,LiveRange
read_only_register_renumbering	7	2	Analyses/AddressPinningScheme.h,Analyses/ExpressionEvaluatorUtils.h	Candidate,EvaluatedValue,ExpressionEvaluator,StaticPinningSchemeManager
register_allocation	2	0	-	-
register_initialization	6	4	Analyses/InstructionEstimation.h,Analyses/Liveness.h,Analyses/UniformGroupAnalysis.h,RegisterInitialization/Collector.h,RegisterInitialization/Evaluator.h,RegisterInitialization/Selector.h,RegisterInitialization/Transformer.h,RegisterInitialization/UniformGrouper.h	BisectSelector,Candidate,CollectorInterface,ConstantDecaySelector,EvaluatorInterface,GreedySelector,InstructionEstimator,LinearDecaySelector,Liveness,PolynomialDecaySelector,SelectorInterface,SimpleCollector,SimpleEvaluator,Transformer,UniformGroupAnalyzer,UniformGrouper
register_packing	13	0	Analyses/Utils.hpp	-
register_type_assignment	17	1	Analyses/Utils.hpp	L3GatherScatterChecker
rematerialization_pass	5	1	Analyses/Utils.hpp	LiveRange
remove_redundant_conditionals	5	0	-	-
reuse_loop_iterator_arguments	7	1	Analyses/AddressPinningScheme.h,Analyses/CorrelationAnalysis.h,Analyses/Liveness.h,Analyses/PropagationAnalysis.h,Analyses/Utils.hpp	AffineExpressionCorrelationAnalysis,Liveness,PropagationAnalysis,ToggleCorrelationAnalysis
scalar_copy_insertion_for_symbols	14	2	Analyses/InstructionEstimation.h,Analyses/Liveness.h,Analyses/PropagationAnalysis.h,Analyses/RegisterPressureAnalysis.h,Analyses/Utils.hpp	InstructionEstimator,Liveness,RegisterPressure,RegisterPressureAnalysis
scalar_op_merging_and_hoisting	36	13	Analyses/ExpressionEvaluatorUtils.h,Analyses/InstructionEstimation.h,Analyses/Utils.hpp	AllUnitEvaluatedValue,Candidate,EvaluatedValue,ExpressionEvaluator,InstructionEstimator,PerUnitEvaluatedValue
scalar_op_reordering	12	1	Analyses/RegisterPressureAnalysis.h	Liveness,RegisterPressure
