unit	pass_module	out_of_scope_types_named
e002_getAllConstants	address_pinning_and_toggle	EvaluatedValue
e015_getInit	address_pinning_and_toggle	EvaluatedValue
e016_ConditionalConstantDescriptor	address_pinning_and_toggle	EvaluatedValue
e017_getOutermostConstInitialization	address_pinning_and_toggle	EvaluatedValue
e018_getOutermostConstInitAndLoopingChainIncrement	address_pinning_and_toggle	EvaluatedValue
e021_splitBurst	burst_splitting	InstructionEstimator
e022_runOnOperation	cfg_deep_merging	CFGDeepMergingConditionalTree
e032_findExistingIterArg	cfg_simplification_sentient_level	EvaluatedValue
e036_checkCascadingArgUses	cfg_simplification_sentient_level	CFGSSentientLevelConditionalTree
e052_addOrSubWithZeroSimplification	lightweight_simplification	AllUnitEvaluatedValue
e054_coalesceScalarArithSimplification	lightweight_simplification	BaseValue
e131_runLocalAnalysis	register_initialization	Candidate
e157_doesImmutableImmExceedRange	scalar_op_merging_and_hoisting	AllUnitEvaluatedValue,PerUnitEvaluatedValue
e158_doesValueExceedLRFRange	scalar_op_merging_and_hoisting	AllUnitEvaluatedValue,PerUnitEvaluatedValue
e172_addToOrReplaceOp	scalar_op_merging_and_hoisting	EvaluatedValue
e193_deadIncrMaskOptimization	set_mask_re	RDENode
e194_absorbIncrMask	set_mask_re	RDENode
e208_runOnOperation	simplify_uniform_regions	PropagationAnalysis
e232_reorderToggle	toggle_reordering	EvaluatedValue
e276_updateImmutableAddr	address_pinning_and_toggle	EvaluatedValue
e277_updateVariableOffsetCalculation	address_pinning_and_toggle	EvaluatedValue
e280_IntegerSequenceDescriptor	address_pinning_and_toggle	EvaluatedValue
e281_DiscreteIntegerSetDescriptor	address_pinning_and_toggle	EvaluatedValue
e282_LoopingChainMutableAddrDescriptor	address_pinning_and_toggle	EvaluatedValue
e286_recomputeAsDefaultVals	cfg_simplification_sentient_level	EvaluatedValue
e289_computeTemplateSeqAndUpdateMonotoneSeq	cfg_simplification_sentient_level	EvaluatedValue
e296_runOnOperation	canonicalize_xrf_pointers	XRFRegisterAnalyzer
e304_printSsaMap	live_range_reduction	ExprInfo
e305_getBaseExpr	live_range_reduction	ExprInfo,ExprInfoMap,PropagationAnalysis
e314_removeLoopsContainingLoadSendOrReceiveStore	loop_elimination_via_rerolling	Candidate
e315_removeLoopsContainingComputeOp	loop_elimination_via_rerolling	Candidate
e321_printLoopToPeelingType	multi_dim_loop_peeling	Candidate
e343_computeNewRegisterIndices	read_only_register_renumbering	Candidate,EvaluatedValue
e345_run	register_initialization	Candidate
e358_collectCandidates	scalar_copy_insertion_for_symbols	InstructionEstimator,RegisterPressure
e362_isFieldUnrollCandidate	scalar_op_merging_and_hoisting	EvaluatedValue
e363_markFieldUnrollingCandidates	scalar_op_merging_and_hoisting	Candidate,EvaluatedValue
e364_doScalarOpMerging	scalar_op_merging_and_hoisting	EvaluatedValue
e365_applyOperationData	scalar_op_merging_and_hoisting	EvaluatedValue
e366_runOn	scalar_op_merging_and_hoisting	ExpressionEvaluator,InstructionEstimator
e370_localeHasFreeRegs	scalar_op_reordering	Liveness,RegisterPressure
e372_areAllExprsValidToTransform	scalar_simplifications	ExprInfo,PropagationAnalysis
e373_areFlatExprsAndArgsIdentical	scalar_simplifications	ExprInfo,PropagationAnalysis
e378_optimize	set_mask_re	RDENode
e389_runOnOperation	sync_send_recv_fusion	InstructionEstimator
e397_runOnOperation	vector_register_initialization	Liveness
e398_runOn	vector_register_initialization	InstructionEstimator
e405_getMin	address_pinning_and_toggle	EvaluatedValue
e406_getMax	address_pinning_and_toggle	EvaluatedValue
e408_getAllConstants	address_pinning_and_toggle	EvaluatedValue
e412_getMin	address_pinning_and_toggle	EvaluatedValue
e413_getMax	address_pinning_and_toggle	EvaluatedValue
e418_getOffset	address_pinning_and_toggle	EvaluatedValue
e420_updateImmutableAddr	address_pinning_and_toggle	EvaluatedValue
e421_updateConstantMutableAddr	address_pinning_and_toggle	EvaluatedValue
e425_dump	address_pinning_and_toggle	EvaluatedValue
e429_runOnOperation	annotate_mac_xrf_wt_range	XRFRegisterAnalyzer
e432_transformInContiguousSequenceCase	cfg_simplification_sentient_level	EvaluatedValue
e433_transformInMonotoneSequenceCase	cfg_simplification_sentient_level	EvaluatedValue
e434_parseSequence	cfg_simplification_sentient_level	EvaluatedValue
e438_runOn	implicit_sync_re	RDETreeOptimizer
e440_addToMap	live_range_reduction	ExprInfo
e451_collectRegInitAndRegCoalescingCandidateFast	old_register_initialization	Liveness,RegisterGraphs
e456_runOn	read_only_register_renumbering	ExpressionEvaluator,StaticPinningSchemeManager
