unit	entry	level	scc	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-senpass/cpp/sentient.cpp)	rust_home	calls
e001_invalidate	001/656	0	13	5	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:271	27-32	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e002_getAllConstants	002/656	0	16	4	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:330	41-45	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e003_invalidate	003/656	0	20	6	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:416	54-60	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e004_invalidate	004/656	0	23	5	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:507	69-74	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e005_invalidate	005/656	0	26	4	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:600	83-87	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e006_dtor_DataTransferDescriptor	006/656	0	27	3	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:645	96-99	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e007_isPartOfSomeChain	007/656	0	36	5	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:901	108-113	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e008_setChainingInfo	008/656	0	39	10	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:945	122-133	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e009_createOffsetValue	009/656	0	40	14	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1017	142-156	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e010_updateVariableOffsetCalculation	010/656	0	41	3	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1065	165-169	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e011_getOffset	011/656	0	43	4	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1104	178-182	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e012_getOffset	012/656	0	44	4	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1133	191-195	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e013_getOffset	013/656	0	45	4	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1163	204-208	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e014_dump	014/656	0	69	8	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1666	217-225	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	-
e015_getInit	015/656	0	4	10	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2713	234-244	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/toggle_descriptor.rs	-
e016_ConditionalConstantDescriptor	016/656	0	52	32	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2744	253-288	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/conditional_constant_descriptor.rs	-
e017_getOutermostConstInitialization	017/656	0	49	107	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2968	297-406	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/discrete_integer_set_descriptor.rs	-
e018_getOutermostConstInitAndLoopingChainIncrement	018/656	0	53	168	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:3134	415-584	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/looping_chain_mutable_addr_descriptor.rs	-
e019_initializePrecision	019/656	0	98	11	dcc/src/Transform/Sentient/AddressRegisterPrecisionAssignment.cpp:82	593-605	crates/compiler/deeptools/src/transform/sentient/address_register_precision_assignment/mod.rs	-
e020_assignPrecisionHelper	020/656	0	99	59	dcc/src/Transform/Sentient/AddressRegisterPrecisionAssignment.cpp:99	614-675	crates/compiler/deeptools/src/transform/sentient/address_register_precision_assignment/mod.rs	-
e021_splitBurst	021/656	0	106	47	dcc/src/Transform/Sentient/BurstSplitting.cpp:112	684-732	crates/compiler/deeptools/src/transform/sentient/burst_splitting/mod.rs	-
e022_runOnOperation	022/656	0	110	27	dcc/src/Transform/Sentient/CFGDeepMerging.cpp:62	741-768	crates/compiler/deeptools/src/transform/sentient/cfg_deep_merging/mod.rs	-
e023_incrementLength	023/656	0	111	1	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:293	777-778	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/mod.rs	-
e024_incrementIntervalMarker	024/656	0	112	5	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:297	787-792	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/mod.rs	-
e025_getIntervalStride	025/656	0	113	5	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:302	801-806	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/mod.rs	-
e026_changeToDefaultValue	026/656	0	114	6	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:316	815-821	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/mod.rs	-
e027_print	027/656	0	115	11	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:323	830-841	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/mod.rs	-
e028_getPrevVal	028/656	0	116	4	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:380	850-854	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/mod.rs	-
e029_getEV	029/656	0	118	6	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:473	863-869	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/mod.rs	-
e030_isFull	030/656	0	121	5	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:527	878-883	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/mod.rs	-
e031_populateTable	031/656	0	144	90	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:924	892-984	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/pattern_simplification_manager.rs	-
e032_findExistingIterArg	032/656	0	130	78	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:1455	993-1077	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/pattern_simplification_manager.rs	-
e033_replaceResultByIterArg	033/656	0	131	8	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:1541	1086-1095	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/pattern_simplification_manager.rs	-
e034_replaceIfOpByIterArg	034/656	0	129	8	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:1552	1104-1113	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/pattern_simplification_manager.rs	-
